Female_4m_F1a	Female_4m_F1b	Female_4m_F2a	Female_4m_F2b	Female_20m_F3a	Female_20m_F3b	Female_20m_F4a	Female_20m_F4b	Male_4m_M1a	Male_4m_M1b	Male_4m_M2a	Male_4m_M2b	Male_20m_M3a	Male_20m_M3b	Male_20m_M4a	Male_20m_M4b
Snhg6	6.44930041684738	5.97553005235474	6.22529757116009	6.03998992406932	5.69790689844841	5.89442190141673	5.98197814575979	6.02269070710026	6.26767068100039	6.05909992953459	5.91326108183584	6.28646883766491	5.93121931170348	6.14181850355381	5.93331599146976	5.93244475924353
Snord87	5.23012230680881	5.23012230680881	5.23012230680881	5.45691694304548	5.23012230680881	5.59792135705354	5.38382910703835	5.23012230680881	5.23012230680881	5.38254811472824	5.37820057536399	5.38792911403481	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Tcf24	6.09008211908655	5.82216077810472	6.00082920360236	6.03998992406932	5.66045090945854	5.96150574402756	5.71847098230865	5.77922578646864	5.99592796565859	6.15263382766105	6.09363532580952	5.97733206423661	5.68082178698943	5.84993857490577	5.73121726719643	5.75973832033158
Ppp1r42	7.94862556204995	7.94427685070095	8.0574210525988	7.73856875231539	7.40226750899395	7.80002202495217	7.40484810770258	7.67305303515165	7.84348386883384	8.02991608084758	7.64232656828645	7.85947013012395	7.25186268262301	7.29759666228172	7.3140055674863	7.21192552329736
Cops5	7.98648148238715	7.71776273663658	7.70537705112478	7.54390815891225	7.54280232184216	7.67183848886734	7.50586766689011	7.53295408376994	7.9533798357638	8.01595555688541	7.57364357586922	7.95486179777772	7.6964158850771	7.69292732806456	7.50182119792371	7.44986116204377
Cspp1	9.64912567419095	9.40176775196556	9.4702204682045	9.44811549072186	9.27601985274745	9.45348506755921	9.41573295602109	9.19798916358858	9.42633242838842	9.49441795818355	9.31756330107876	9.42577142035936	9.26093178996985	9.40269472822215	9.26548384527575	9.23022191587893
Arfgef1	12.2787049873671	12.0603867620452	12.4009105324818	12.0804476312708	11.8811384689448	12.0747515793382	11.8412352215082	11.9779485744595	12.1525962698659	12.2983974103526	12.1052806885054	12.1596772429766	11.9028554215276	12.066291124691	11.9965176595848	11.9159498582061
Cpa6	5.60221298964483	5.79279872870655	6.42338629811335	5.77700379537472	5.73283243286321	5.63630839348607	5.71847098230865	5.60759256681342	5.64375649368189	5.83228468526122	5.78991729216414	5.76324509223787	5.64467455764256	5.82189540408233	5.88831435857895	5.69978542369964
Prex2	5.23012230680881	5.23012230680881	5.51518130319677	5.23012230680881	5.23012230680881	5.23012230680881	5.45850771363722	5.68329495968196	5.23012230680881	5.23012230680881	5.23012230680881	5.46439135217699	5.23012230680881	5.57260204569724	5.73121726719643	5.50507257793994
Sulf1	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881
Slco5a1	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.3887038392949	5.37920791631273	5.38382910703835	5.515501814892	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.46367929003754	5.23012230680881	5.37749871112413
