mz	p.value	t.score	mode
215.0325	0.609837309	0.833237248	negative
171.0411	0.759485526	-0.515866295	negative
189.0516	0.304169335	-1.600975429	negative
201.0516	0.559288236	-0.939610138	negative
175.0245	0.915211567	0.181173781	negative
273.0378	0.243087717	-1.821819869	negative
334.1256	0.67186307	-0.695956692	negative
294.9499	0.426257962	1.252822597	negative
233.0777	0.001696153	6.523698871	negative
260.873	0.705484864	0.631415152	negative
85.0294	0.828285239	0.374430794	negative
282.9481	0.730780958	-0.586085404	negative
96.96	0.141751557	2.296485957	negative
229.0118	0.006436676	4.801402649	negative
246.0729	0.736673142	-0.572008601	negative
260.0884	0.520025663	1.032192109	negative
300.0488	0.233865044	-1.861164226	negative
335.1289	0.0813542	-2.787853093	negative
426.0221	0.106794569	2.55151722	negative
462.9435	0.004216713	5.189003417	negative
629.1371	0.679239207	0.682964503	negative
321.0048	0.939221109	0.127640737	negative
124.0073	0.131449713	-2.377403303	negative
296.0379	0.010072775	-4.382479439	negative
448.0039	0.167868792	2.162447802	negative
274.1519	0.01036499	-4.35728876	negative
243.0273	0.689637453	-0.663584481	negative
154.0621	0.119660766	-2.457072012	negative
313.0442	0.012052605	4.212312551	negative
443.2803	0.032593841	-3.477861201	negative
367.3582	0.508280002	-1.057781422	negative
189.0402	0.309392664	1.588919958	negative
229.0118	0.054942801	3.078885286	negative
322.0447	0.958193573	-0.082765206	negative
273.0377	0.024887418	-3.64646071	negative
260.0884	0.318053634	1.565625274	negative
398.1304	0.18135697	-2.087066699	negative
219.0621	0.967365611	0.066794612	negative
274.1042	0.006620653	4.777172074	negative
303.0943	0.342129178	-1.492845975	negative
316.0439	0.221928527	-1.899937785	negative
588.0754	0.45202314	-1.178969505	negative
234.904	0.192452549	-2.017889785	negative
291.0832	0.641087841	-0.762533552	negative
350.9013	0.347860919	1.475674018	negative
457.2954	0.50669221	-1.064420251	negative
355.266	0.067029792	-2.931501106	negative
437.2691	0.020363565	-3.801916904	negative
427.2874	0.057768375	-3.047503868	negative
667.5337	0.058816562	-3.021074545	negative
443.2796	0.13479076	-2.343475429	negative
254.9132	0.758482715	0.519328631	negative
401.2715	0.131898379	-2.370863406	negative
413.2718	0.237005315	-1.851080942	negative
612.7593	0.968087632	0.064746467	negative
78.959	0.57671927	0.900932302	negative
343.02	0.238565453	1.844328694	negative
402.9949	0.009622764	4.427380609	negative
445.0528	0.546792183	-0.968942236	negative
262.9626	0.75671519	-0.526669254	negative
184.9856	0.745433903	-0.553485842	negative
362.0507	0.003323972	5.47393896	negative
289.0329	0.083079871	2.770328314	negative
252.9241	0.504378091	1.069077608	negative
175.0244	0.333178766	-1.518059158	negative
579.0276	0.632688664	-0.780651414	negative
505.9879	0.010662992	-4.335903698	negative
267.2328	0.830780092	-0.366299215	negative
354.0614	0.835799965	0.349239568	negative
426.0221	0.023849054	-3.677724273	negative
338.0664	0.891297497	0.225845166	negative
166.9751	0.580407971	-0.891158959	negative
247.057	0.858713054	-0.300460367	negative
238.8915	0.413966056	-1.293728655	negative
306.9988	0.539092231	0.98563384	negative
189.0516	0.717280197	-0.605984805	negative
203.0147	0.101403216	2.591835269	negative
343.02	0.542186012	0.977356733	negative
259.0222	0.850026678	-0.317390331	negative
433.3326	0.59676028	0.860687462	negative
261.0726	0.798280085	-0.433424837	negative
699.321	0.855329984	-0.306847265	negative
482.9609	0.021145072	-3.764615516	negative
619.2897	0.27656781	1.692938825	negative
442.0169	0.07120712	2.883636004	negative
165.0403	0.929319811	-0.147180156	negative
410.1318	0.188003533	2.046386899	negative
742.0705	0.109307605	-2.534250457	negative
321.0548	0.745433903	0.554804827	negative
231.0315	0.009622764	4.427306689	negative
320.0679	0.289986694	-1.655344961	negative
640.142	0.513454702	-1.04725916	negative
425.0806	0.704721688	-0.636618258	negative
